flu_season	date	date_short	deaths	people_vaccinated_per_hundred
2020/21	2020-10-01	10-01	8885.0	
2020/21	2020-10-02	10-02	5601.0	
2020/21	2020-10-03	10-03	4723.0	
2020/21	2020-10-04	10-04	3991.0	
2020/21	2020-10-05	10-05	4250.0	
2020/21	2020-10-06	10-06	5854.0	
2020/21	2020-10-07	10-07	5894.0	
2020/21	2020-10-08	10-08	6369.0	
2020/21	2020-10-09	10-09	6191.0	
2020/21	2020-10-10	10-10	4880.0	
2020/21	2020-10-11	10-11	4125.0	
2020/21	2020-10-12	10-12	4050.0	
2020/21	2020-10-13	10-13	5385.0	
2020/21	2020-10-14	10-14	6192.0	
2020/21	2020-10-15	10-15	6183.0	
2020/21	2020-10-16	10-16	6188.0	
2020/21	2020-10-17	10-17	5712.0	
2020/21	2020-10-18	10-18	3853.0	
2020/21	2020-10-19	10-19	4702.0	
2020/21	2020-10-20	10-20	6651.0	
2020/21	2020-10-21	10-21	6855.0	
2020/21	2020-10-22	10-22	5897.0	
2020/21	2020-10-23	10-23	7093.0	
2020/21	2020-10-24	10-24	5863.0	
2020/21	2020-10-25	10-25	4276.0	
2020/21	2020-10-26	10-26	5614.0	
2020/21	2020-10-27	10-27	7476.0	
2020/21	2020-10-28	10-28	7189.0	
2020/21	2020-10-29	10-29	7201.0	
2020/21	2020-10-30	10-30	7677.0	
2020/21	2020-10-31	10-31	6603.0	
2020/21	2020-11-01	11-01	5119.0	
2020/21	2020-11-02	11-02	6075.0	
2020/21	2020-11-03	11-03	9575.0	
2020/21	2020-11-04	11-04	10107.0	
2020/21	2020-11-05	11-05	8667.0	
2020/21	2020-11-06	11-06	9152.0	
2020/21	2020-11-07	11-07	7750.0	
2020/21	2020-11-08	11-08	6091.0	
2020/21	2020-11-09	11-09	7233.0	
2020/21	2020-11-10	11-10	9846.0	
2020/21	2020-11-11	11-11	10550.0	
2020/21	2020-11-12	11-12	9773.0	
2020/21	2020-11-13	11-13	9792.0	
2020/21	2020-11-14	11-14	9123.0	
2020/21	2020-11-15	11-15	6612.0	
2020/21	2020-11-16	11-16	7741.0	
2020/21	2020-11-17	11-17	11048.0	
2020/21	2020-11-18	11-18	11458.0	
2020/21	2020-11-19	11-19	11119.0	
2020/21	2020-11-20	11-20	11760.0	
2020/21	2020-11-21	11-21	9140.0	
2020/21	2020-11-22	11-22	7471.0	
2020/21	2020-11-23	11-23	8308.0	
2020/21	2020-11-24	11-24	12604.0	
2020/21	2020-11-25	11-25	12154.0	
2020/21	2020-11-26	11-26	11001.0	
2020/21	2020-11-27	11-27	11503.0	
2020/21	2020-11-28	11-28	9466.0	
2020/21	2020-11-29	11-29	7312.0	
2020/21	2020-11-30	11-30	8701.0	
2020/21	2020-12-01	12-01	12659.0	
2020/21	2020-12-02	12-02	12628.0	0.0
2020/21	2020-12-03	12-03	12619.0	0.0
2020/21	2020-12-04	12-04	12408.0	0.0
2020/21	2020-12-05	12-05	10550.0	0.0
2020/21	2020-12-06	12-06	7820.0	0.0
2020/21	2020-12-07	12-07	8415.0	0.0
2020/21	2020-12-08	12-08	12162.0	0.0
2020/21	2020-12-09	12-09	12784.0	0.0
2020/21	2020-12-10	12-10	12492.0	0.0
2020/21	2020-12-11	12-11	13148.0	0.0
2020/21	2020-12-12	12-12	10913.0	0.0
2020/21	2020-12-13	12-13	7937.0	0.0
2020/21	2020-12-14	12-14	8828.0	0.0
2020/21	2020-12-15	12-15	13345.0	0.0
2020/21	2020-12-16	12-16	14091.0	0.0
2020/21	2020-12-17	12-17	13323.0	0.01
2020/21	2020-12-18	12-18	13012.0	0.01
2020/21	2020-12-19	12-19	11306.0	0.01
2020/21	2020-12-20	12-20	8235.0	0.02
2020/21	2020-12-21	12-21	9079.0	0.02
2020/21	2020-12-22	12-22	13941.0	0.03
2020/21	2020-12-23	12-23	13943.0	0.04
2020/21	2020-12-24	12-24	12196.0	0.04
2020/21	2020-12-25	12-25	8896.0	0.04
2020/21	2020-12-26	12-26	7440.0	0.04
2020/21	2020-12-27	12-27	7748.0	0.05
2020/21	2020-12-28	12-28	9110.0	0.06
2020/21	2020-12-29	12-29	14829.0	0.07
2020/21	2020-12-30	12-30	15715.0	0.08
2020/21	2020-12-31	12-31	13690.0	0.09
